MoveId,CharacterId,Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
1815,14,"d/f+3, 4","l, m","11,14",15,-13,-2,KND,
1816,14,"d/f+3, 4~2","l, m","11,25",15,2,KND,KND,
1817,14,"d/f+3, 4~3","l, h","11,15",15,+1~+3,+20~+22kg,+20~+22kg,
1818,14,"d/f+3, 4~3, 1+2","l, h, (MAX )","11,15",15,+5~+7,+24~+26kg,+24~+26kg,
1819,14,d/f+4,m,15,14,-7,4,4,
1820,14,d/b or d+1 or FC+d/b or d+1 BT d+1 or 2,Sm,5,10s cs4or1~,-5,6,6,
1821,14,"d/b or d+1, 1+2","Sm, (MAX )",5,10 cs4or1~,-1,+10g,10,
1822,14,d/b or d+2 or FC+2,l,13,14s cs6or1~,-14,-3,-3,
1823,14,d/b or d+3 or FC+3,l,12,15s cs6or1~,-12,-2,-2,
1824,14,"d+3, 1","l, Sm","12,5",15 61~s,-9,2,2,
1825,14,"d+3, 1, 1+2","l, Sm, (MAX )","12,5",15 61~,-1,+10g,10,
1826,14,d/b or d+4 or FC+4 BT d+3 or 4,"l, (Special)",15,17~18s cs6or1~,-31,-5~-4,KND,
1827,14,"d/b or d+4, 1+2",l(MAX ),15,17~18 cs6or1~,,+15~+16g,KND,
1828,14,d+1+2,l,20,24~25s cs6~,-18~-17,KND,KND,
1829,14,b+1,h,10,12~13,-7~-6,+4~+5,+4~+5,
1830,14,"b+1, 2","h, m","10,18",12~13,-7,4,KND,
1831,14,b+2,m,23,24,2,KND,KND,
1832,14,b+3,m,11,14~15,-9~-8,+2~+3,+2~+3,
1833,14,"b+3, 2","m, m","11,15",14~15,-15~-14,KND,KND,
1834,14,"b+3, 2, 1+2","m, m, (MAX )","11,15",14~15,+2~+3,KND,KND,
1835,14,b+4,l,10,19,-13,-4,-2,
1836,14,"b+4, 4","l, h","10,17",19,-3~-2,+16~+17kg,KND,Tail spin
1837,14,"f, f, f+1",m,26,15~16 (18~),-8~-7,KND,KND,
1838,14,WS+1,m,12,13~14,-8~-7,+3~+4,+3~+4,
1839,14,"WS+1, 1+2","m, (MAX )",12,13~14,-3~-2,+8~+9,+8~+9,
1840,14,WS+2,m,10,18,-14,-3,-3,
1841,14,WS+2 When hit F+2,"m, (throw)","10,10,10",18,,Launch,Launch,
1842,14,WS+3,h,14,15~16,-8~-7,Tail spin,Tail spin,Tail spin
1843,14,WS+4,m,18,11,-5,6,6,
1844,14,FC+d/f+1,m,20,15,-14,Launch (JG?),Launch (JG?),
1845,14,SS+3,l,18,19(28~),-12,6,KND,
1846,14,Jump 1,m,10,9 (14~37) js1~,-21~+2,-11~+12,-11~+12,
1847,14,Jump 2,mm,"10,10","9,21 (14~37, 26~) js1~",-12~,0~,0~,
1848,14,Jump 2 (Second hit miss),m,10,9 (14~37) js1~,-17~+7,-7~+17,-7~+17,
1849,14,Jump 3,m,10,7 (12~37) js1~,-23~+2,-13~+12,-13~+12,
1850,14,Jump 4,m,15,11 (16~37) js1~,-14~+7,-4~+17,-4~+17,
1851,14,"Back to wall b, b, u/b",m,25,29~45 js1,-12~+4,KND,KND,
1852,14,1+3+4,(Special),,29~45 1,,,,
1853,14,qcf+1,Sm,14,19~,-13~,-5~,-5~,
1854,14,qcf+2,Sm x 2,"10,8","19~,43~",-19~,-8~,-8~,
1855,14,qcb+1,h,20,15,-15,KND,KND,
1856,14,qcb+2,h,10,20,-15,-5,-5,
1857,14,"qcb+2, 1","h, m","10,15",20,-15,KND,KND,
1858,14,"qcb+2, 3","h, m","10,20",20,-8~-6s,KND,KND,
1859,14,"qcb+2, 4","h, l","10,20",s cs18~,-18~-17,KND,KND,
1860,14,hcb+3,Smh,"10,15","22~30,40 pc8~",-9,KND,KND,Power crush
1861,14,hcb+4,Smmm,"10,5,12","22~30, 40,58 pc8~",-14,KND,KND,Power crush
1862,14,Jump qcb+1 or 2,Sm (TJ),14,17~(~) js1~,-34~,-23~,-23~,
1863,14,"f+1+2, qcb+1 or 2","m (TJ), Sm (TJ)","15,14",17~(~) 1~,-27~,KND,KND,
1864,14,1+2+3,(MAX),,17~(~) 1~,,,,
1865,14,MAX qcf+1+2,Sm x 2,"10,10","19~,42~",+1~,KND,KND,
1866,14,MAX qcb+1+2,h,10,19,-12,-2,-2,
1867,14,"MAX qcb+1+2, 1","h, m","10,10",19,-2,KND,KND,Wall bounce
1868,14,"MAX qcb+1+2, 3","h, m","10,20",19,-8~-6s,KND,KND,
1869,14,"MAX qcb+1+2, 4","h, l","10,20",s cs18~,-18~-17,KND,KND,
1870,14,MAX hcb+3+4,Smmm,"10,5,12","22~30 ,40,58 pc8~",-2,KND,KND,Power crush
1871,14,MAX Jump qcb+1+2,Sm,14,17~(~) js1~,-34~,-23~,-23~,
1872,14,"MAX f+1+2, qcb+1+2","m (TJ), Sm (TJ)","15,14",17~(~) 1~,+4~,KND,KND,
1873,14,"qcf, qcf+1+2",Sm x 5,13*5,10~,+1~,KND,KND,
1874,14,"d/b, hcb, d/f+1+2",Sm,43,9~,-18,Launch,Launch,
1875,14,"1, 2, 1, 2","h, m, m, Sm x 5","7,10,15,14*5",-10,+1~,KND,KND,
1876,15,in rage 1+2,m (TJ),55,20~21 pc8~17 js8~17,-42~-41,KND,KND,Rage art
1877,15,in rage f+3+4*,! (GOL),0,29,81,81,81,Rage drive
1878,15,1,h,7,10,1,8,8,
1879,15,"1, 2","h, h","7,24",10,-17,KND,KND,
1880,15,2,h,10,10,-5,6,6,
1881,15,"2, 1","h, h","10,12",10,-7,4,4,
1882,15,"2, 1, 3+4","h, h, (SG)","10,12",10,-4,7,7,
1883,15,3,m,17,14~15,-9~-8,+2~+3,KND,
1884,15,4,m,20,16~17,-9~-8,+2~+3,KND,
1885,15,f+2,h,20,16~18,-9~-7,+7~+9,CS,
1886,15,"f+2, 1","h, h","20,17",16~18,-3~-2,+5~+6,+5~+6,
1887,15,"f+2, 1, 1","h, h, m","20,17,25",16~18,-12~-11,KMUD,KMUD,
1888,15,"f+2, f+1","h, h","20,20",16~18,-9~-8,CS,CS,Tail spin
1889,15,"f+2, d+1","h, m","20,17",16~18,-13~-12s,+2~+3s,+2~+3s,
1890,15,"f+2, d+1, 3+4","h, m, (SG)","20,17",16~18,-2s,+13s,+13s,
1891,15,f+3,m,17,23,-9,9,9,
1892,15,"f+3, 2","m, m","17,20",23~24,-13,KND,KND,
1893,15,"f+3, 2, F","m, m, (GOL)","17,20",23~24,-27,KND,KND,
1894,15,"f+3, 2*","m, m","17,40",23~24,+15g,KND,KND,
1895,15,"f+3, 2*, F","m, m, (GOL)","17,40",23~24,18,KND,KND,
1896,15,f+4,m,20,24,-14,KND,KND,
1897,15,"f+4, F","m, (GOL)",20,24,-18,KND,KND,
1898,15,f+4*,m,40,43~44,+26g,KND,KND,
1899,15,"f+4*, F","m, (GOL)",40,43~44,18,KND,KND,
1900,15,f+1+2,h,20,13,-9,+6s,Throw,
1901,15,f+1+2(CH in front),"h, (throw)","18,10*4",13,,,Throw,
1902,15,d/f+1,m,14,14,-9,4,4,
1903,15,d/f+2,m,15,15,-7,6,6,
1904,15,"d/f+2, 1","m, m","14,21",15,-13~-12,KND,KND,Tail spin
1905,15,d/f+3,m,11,13,-9,4,4,
1906,15,"d/f+3, 1","m, h","11,12",13,-4,4,10,
1907,15,"d/f+3, 1+2","m, m","11,20",13,-16,CS,CS,
1908,15,"d/f+3, 1+2, 1+2","m, m, h","11,20,20",13,-1~0,KND,KND,
1909,15,d/f+4,m,12,14,-3,3,8,
1910,15,"d/f+4, 1+2","m, m","12,30",14,+1~+2s,+5~+6s,+5~+6s,
1911,15,d/f+1+2,mm,"13,13","25~26, 47~48",-20~-19,-9~-8s,KND(KND),
1912,15,"d/f+1+2, 1+2","mm, m","13,13,20","25~26, 47~48",-18~-17s,KND,KND,
1913,15,d+2,m,13,15,-14,KND,KND,
1914,15,d+3,l,18,16,-12,-1,-1,
1915,15,"d+3, 2","l, m","18,20",16,-12s,0s,KND,
1916,15,d+1+2,m,30,30~31 pc8~29,-13~-12,KND,KND,"Wall bounce, Power crush"
1917,15,d+3+4,(Special),,pc6~,,,,Power crush
1918,15,d/b+2,l (TC),20,23~24 cs6~,-14~-13,+3~+4,KND,
1919,15,d/b+3,l (TC),16,21s cs6~,-28,6,6,
1920,15,d/b+4,l (TC),8,14s cs4~,-13,-2,3,
1921,15,d/b+1+2,m,35,29~32,-8~-5,KND,KND,
1922,15,b+1,m,20,20~22,-15~-13,Launch,Launch,
1923,15,b+2,m,20,20,-13,KND,KND,
1924,15,"b+2, F","m, (GOL)",20,20,-18,KND,KND,
1925,15,b+2*,m,40,41~42,+15g,KND,KND,
1926,15,"b+2*, F","m, (GOL)",40,41~42,18,KND,KND,
1927,15,b+3,m,26,21~23,-9~-7,KND,KND,
1928,15,b+4,m,20,20~22,-9~-7s,+1~+3s,KND,
1929,15,b+1+2,m,30,25~26,+1~+2s,+5~+6s,+5~+6s,
1930,15,u/f+1,m (TJ),25,23~24 js9~,-9~-8s,KND,KND,
1931,15,u/b+3,m (TJ),13,20~22 js9~,-10~-8,+3~+5,+3~+5,
1932,15,u+3,m (TJ),15,20~22 js9~,-10~-8,+3~+5,+3~+5,
1933,15,u/f+3,m (TJ),17,20~22 js9~,-3~-1,+6~+8,Launch (JG?),
1934,15,u/f+4,m (TJ),20,25~26 js9~,-13~-12,Launch (JG?),Launch (JG?),
1935,15,u/f (On the way up) n+4,m (TJ),25,23 js9~,-11,Launch (JG?),Launch (JG?),
1936,15,u/f+1+2,m (TJ),35,35~63d js18~,-19~+10,KND,KND,
1937,15,u/f+3+4,m (TJ),25,31~36 js6~,-3~+2s,+7~+12s,KND,
1938,15,"f, F+2",m,20,16~17,-8~-7,KND,KND,
1939,15,"f, F+3",m,23,17(18~),-9,3,CS,
1940,15,"f, F+4",m,17,17(18~),-8,3,3,
1941,15,"f, F+4, 2","m, m","17,25",17(18~),-13~-12,Launch,Launch,
1942,15,"f, F+1+2",m,20,17(18~),-16,CS,CS,Homing
1943,15,"f, F+1+2, 1+2","m, h","20,20",17(18~),-1~0,KND,KND,
1944,15,"f, f, f+2",m,30,21~24 (24~),+7~+10g,KND,KND,
1945,15,WS+1,m,17,11~12,-7~-6,+3~+4,+3~+4,
1946,15,WS+2,m,19,15~16,-5~-4,+4~+5,+4~+5,
1947,15,"WS+2, 3","m, m","19,24",15~16,-13,KND,KND,
1948,15,"WS+2, 4","m, m","19,20",15~16,-14,KND,KND,
1949,15,"WS+2, 4, F","m, m, (GOL)","19,20",15~16,-27,KND,KND,
1950,15,"WS+2, 4*","m, m","19,40",15~16,+27g,KND,KND,
1951,15,"WS+2, 4*, F","m, m, (GOL)","19,40",15~16,19,KND,KND,
1952,15,WS+3,m,25,18~20,-13~-11,Launch (JG?),Launch (JG?),
1953,15,WS+4,m,21,13~14,-12~-11,KND,CS,
1954,15,"WS+4, 2","m, m","21,20",13~14,-14,KND,KND,
1955,15,FC+d/f+2,l (TC),20,28~29 cs1~,-19~-18,KND,KND,
1956,15,SS+2,h,25,28~29a (37~),-12~-11,KND,KND,"Tail spin, Homing"
1957,15,Face down Grounded 2,l?,20,22~24,-16~-14,+1~+3,KND,
1958,15,Face down Grounded 1+2,m,30,35~36,0~+1,KND,KND,
1959,15,f+3+4 or From special move,(GOL),,35~36,,,,
1960,15,GOL 1 (After two step),m,20,26~27 (85~86),-2~-1,KND,KND,
1961,15,GOL 1 (After three step),m,30,26~27 (114~115),-2~-1,KND,KND,
1962,15,GOL 2 (After two step),h!,40(45),24~26 (83),KND,KND,KND,
1963,15,GOL 2 (After three step),h!,55(60),24~26 (112),KND,KND,KND,
1964,15,GOL 1+2 (After two step),m (TJ),20,"49~55a,d (105~) js36~",+4~+10,KND,KND,
1965,15,GOL 1+2 (After three step),m (TJ),30,"49~55a,d (136~) js36~",+4~+10,KND,KND,
1966,15,d/b+3+4 (to SG),(Special)(SG),(TC),"49~55, (136~) 36~",,,,
1967,15,SG 1,m,25,15~16 (36~),-13~-12,Launch (JG?),Launch (JG?),
1968,15,SG 2,m,30,20~22 (41~),-8~-6,KND,KND,
1969,15,SG u/b,(Special) (TJ),,a,,,,
1970,16,in rage d+1+2,m,55,20 pc8~17,-22,KND,KND,Rage art
1971,16,"in rage b+2, 1+2","m, h","20,21",20 8~17,+9~+10s,JG,JG,Rage drive
1972,16,"in rage 1, b+2, 1+2","h, m, h","7, 20,21",10,+9~+10s,JG,JG,Rage drive
1973,16,1,h,7,10,1,8,8,
1974,16,"1, 1","h, h","7,6",10,-1,8,8,
1975,16,"1, 1, 2","h, h, m","7,6,12",10,-17,KND,KND,
1976,16,"1, 2","h, h","7,8",10,-1,7,7,
1977,16,"1, 2, 2","h, h, h","7,8,12",10,-12,4,4,
1978,16,"1, 2, 2~1+2","h, h, m","7,8,25",10,-6~-5,KND,KND,
1979,16,"1, 2, 2~1+2 u or d","h, h, (Special)","7,8",10,-16,-9,-9,
1980,16,"1, 2, 4","h, h, h","7,8,21",10,-9,KND,CS,
1981,16,"1, b+2","h, m","7,21",10,-2,8,8,
1982,16,"1, b+2, 1","h, m, m","7,21,20",ar36~,-15~-11,Launch,Launch,
1983,16,"1, b+2, 4","h, m, m (TJ)","7,21,30",js17~,5,KND,KND,
1984,16,2,h,10,10,0,9,9,
1985,16,"2, 2","h, h","10,18",10,-13,-2,-2,
1986,16,"2, 2~1+2","h, m","10,25",10,-6~-5,KND,KND,
1987,16,"2, 2~1+2 u or d","h, (Special)",10,10,-14,-5,-5,
1988,16,3,h,15,14,-10,1,1,
1989,16,"3, 4","h, m","15,20",14,-14~-13,+3~+4,CS,
1990,16,4,h,21,16,-9,KND,CS,
1991,16,4~3 WS+4~3,m (TJ),25,35~37d (36~) js10~,-11~-9,KND,KND,
1992,16,1+2,m,25,12~13,-12~-11,KND,KND,
1993,16,f+2,h,13,15~16,-9~-8,+2~+3,+2~+3,
1994,16,"f+2, 3","h, m","13,20",15~16,-3~-1,KND,CS,
1995,16,f+2~1+2,m,25,16(17~),-6~-5,KND,KND,
1996,16,f+2~1+2 u or d,(Special),,16(17~),,,,
1997,16,f+3,m,20,18~20,-3~-1,KND,CS,
1998,16,f+4,m,20,19~20,+4~+5s,+7~+8s (+13~+14),KND,
1999,16,f+1+2,h,15,12~13,-14~-13,KND,KND,
2000,16,d/f+1,m,10,13~14,-1~0,+9~+10,+9~+10,
2001,16,"d/f+1, 1","m, h","10,8",13~14,-2,4,4,
2002,16,"d/f+1, 2","m, m","10,24",13~14,-13~-12s,KND,KND,
2003,16,d/f+2,m,14,15~16,-7~-6,+4~+5,Launch (JG?),
2004,16,d/f+4,m,15,12,-6,5,5,
2005,16,d/f+1+2,m,25,24~25 pc8~23,-14~-13,KND,KND,Power crush
2006,16,d+1,m,16,17~18,-9~-8,+2~+3,+2~+3,
2007,16,"d+1, D",m,16,17~18s,-9~-8,+2~+3,+2~+3,
2008,16,"d+1, 2","m, m","16,17",17~18,-9~-8,+6~+7,KND,
2009,16,d+3 or d/f+3+4,m,25,22~23,-7~-6s,KND,KND,
2010,16,d+1+4,!,50,60,KND,KND,KND,
2011,16,d+2+3,(Special)!,0,63,-3,-3(KND),-3,
2012,16,d/b+2,l (TC),23,23~25s cs8~,-18~-16,+5~+7s,+5~+7s,
2013,16,d/b+1+2,mm?,"10,20","21~22, 38~39",-13~-12,+5~+6,+5~+6,
2014,16,b+1,h,14,15~16,-11~-10,-5~-4,-5~-4,Homing
2015,16,"b+1, 2","h, h","14,20",15~16,-9,+15kg,CS,Tail spin
2016,16,"b+1, 2~1+2","h, m","14,25",15~16,-6~-5,KND,KND,
2017,16,"b+1, 2~1+2 u or d","h, (Special)",14,15~16,-19~-18,-13~-12,-13~-12,
2018,16,b+2,m,20,22~23,-2~-1,KND,KND,Wall bounce
2019,16,b+3,h,14,14~16,-4~-2,+7~+9,+7~+9,
2020,16,"b+3, 3","h, m","14,25",14~16,-12~-8s,KND,KND,
2021,16,b+4,m,20,18~20,-9~-7,KND,KND,"Homing, Tail spin"
2022,16,b+1+2,m,18,19~20,-9~-8,+2~+3,+2~+3,
2023,16,"b+1+2, 1+2","m, m","18,24",19~20,-13,KND,KND,
2024,16,u/f+3,m (TJ),17,28~29 js9~,-10~-9,KND,KND,
2025,16,"u/f+3, 4","m (TJ), m (TJ)","17,20",js1~,+3~+4,KND,KND,Tail spin
2026,16,u/f+4,m (TJ),25,24~27 js9~,-5~-2,KND,KND,Tail spin
2027,16,"f, F+2",m,25,19~20 (20~),-16~-15,Launch,Launch,
2028,16,"f, F+3",m,25,20~22 (21~),-3~-1s,KND,KND,
2029,16,"b, f+2",m,12,15~16 (15~),-7~-6,+4~+5,+4~+5,
2030,16,"b, f+2, 1","m, h","12,24",15~16 (15~),-9,KND,KND,
2031,16,"b, f+2, 2","m, m","12,21",15~16 (15~),-12s,+1s,KND,
2032,16,"b, f+2, 3","m, h","12,20",15~16 (15~),-9~-8,KND,KND,Tail spin
2033,16,"b, B+1+2",m,25,35~36 (36~),+8~+9,KND,KND,
2034,16,"b, B+3+4",(Special),,35~36 (36~),,,,
2035,16,qcf+2,m,30,15~16 (15~),-17~-16,ED,ED,
2036,16,"f, f, f+3",m,30,22~25 (25~) js3~,+9~+12g,ED,ED,
2037,16,WS+1,m,20,14~15,-14~-13,KND,KND,
2038,16,WS+2,m (TC),20,18 cs1~8,-6,+11kg,CS,Tail spin
2039,16,WS+4,m,13,11~12,-3~-2,+8~+9,+8~+9,
2040,16,"WS+4, 4","m, m","13,16",11~12,-15~-14,0~+1s,0~+1s,
2041,16,FC+d/f+4,l (TC),23,19~21s cs1~,-23,KND,KND,
2042,16,SS+2,m,10,19(28~),-9,-1,-1,
2043,16,"SS+2, 1","m, m","10,20",19(28~),-14~-13,KND,KND,
2044,16,"Opponent Down, d+4",l(On grounded opponent),24,19,-14,-3,-3,
2045,16,2+3+4,(Special),,19,,,,
2046,16,1+2+3+4,(Special),,19,,,,
2047,16,"When ki-charged d, u, u or u/f+3","(Special), m (TJ)",36,28~29 (85~) js9~,-10~-9,KND,KND,
2048,16,"When ki-charged d, u, u or u/f+3, 4","(Special), m (TJ), m (TJ)","36,24",js1~,+1~+2,KND,KND,Tail spin
2049,16,f+3+4,(Special)(h or m punch parry)(RAI),,(5~),,,,
2050,16,"f+3+4, u or d",(Special),,,,,,
2051,16,RAI 1,h,20,17~18 (37~),-2~-1,KND,CS,Homing
2052,16,RAI 2,m,20,15~16 (35~),-13~-12,KND,KND,
2053,16,"RAI 2, 1","m, m","20,23",15~16 (35~),-17~-16s,KND,KND,
2054,16,RAI 1+2,h!,35,56(76~),CS,CS,CS,
2055,16,"f, n, d, D/F",(Special),,56(76~),,,,
2056,16,"f, n, d, d/f+1",m,25,19~21 (22~) ar19~,-15~-13,Launch,Launch,
2057,16,"f, n, d/f+1",m (TJ),35,19~21a (21~) ar19~,-10~-8,Launch,Launch,
2058,16,"f, n, d, D/F+2",h,23,11~12 (15~),-10~-9,Launch (JG?),Launch (JG?),
2059,16,"f, n, d, d/f+2",h,23,11~12 (14~),+5~+6,Launch (JG?),Launch (JG?),
2060,16,"f, n, d, d/f+3",m,30,27~28 (30~) js5~,+7~+8,KND,KND,
2061,16,"f, n, d, D/F+3",l?,24,33~34 (37~) js5~28,-23~-22,KND,KND,
2062,16,"f, n, d, d/f+4",l(HS),15,16~17 (19~),-23,+5~+6s,KND,
2063,16,"f, n, d, d/f+4, 4","l, l(HS)","15,10",16~17 (19~),-11,KND,KND,
2064,16,"f, n, d, d/f+4, 4 (Single hit)","l, l(HS)","15,10",16~17 (19~),-11,+3s,KND,
2065,16,"f, n, d, d/f+4, 4, 4","l, l, l(HS)","15,10,8",16~17 (19~),-11,KND,KND,
2066,16,"f, n, d, d/f+4, 4, 4 (Single hit)","l, l, l(HS)","15,10,8",16~17 (19~),-11,+3s,KND,
2067,16,"HS n, 1",m(HS),20,ar28~,-15~-12,Launch,Launch,
2068,16,"HS n, 4",m(HS),10,28~,-3~-2,+8~+9,+8~+9,
2069,16,"HS n, 4, 4","m, m(HS)","10,20",28~,-16~-15,-5~-4s,-5~-4s,
2070,17,in rage LFS or RFS d+3+4,m,55,20 pc8~17,-7,KND,KND,Rage art
2071,17,in rage d+3+4,lm,"6,9","12,28~29",-4~-3,0~+1,0~+1,Rage drive
2072,17,"in rage d+3+4, 4","lm, m (TJ)(RFF)","6,9,27",js14~,+6s~+8s,JG,JG,Rage drive
2073,17,"in rage u/f+3, 4, 3+4","m (TJ), m, hh","15,14,17,27",js1~,+4~+5,KND,KND,Rage drive
2074,17,"in rage LFS u/f+3, 4, 3+4","m (TJ), m, hh","15,14,17,27",js1~,+4~+5,KND,KND,Rage drive
2075,17,1,h,7,10,1,8,8,
2076,17,"1, 1","h, h","7,8",10,-2,6,6,
2077,17,"1, 1, 3","h, h, l","7,8,10",10,-12,-1,-1,
2078,17,"1, 1, 3, 3","h, h, l, h","7,8,10,14",10,-14,-3,-3,
2079,17,"1, 2","h, h","7,10",10,-1,7,8,
2080,17,"1, 2, 3","h, h, (Special)","7,10",10,3,+11g,12,
2081,17,"1, 2, 4","h, h, (Special)","7,10",10,3,+11g,12,
2082,17,"1, 2, f+3","h, h, m","7,10,14",10,-8,3,3,
2083,17,"1, 2, f+4","h, h, h (TJ)","7,10,34",js14~,0,Tail spin,Tail spin,Tail spin
2084,17,2,h,9,10,0,8,9,
2085,17,"2, 3","h, (LFS)",9,10,3,+11g,12,
2086,17,"2, 4","h, (RFS)",9,10,3,+11g,12,
2087,17,"2, f+3","h, m","9,14",10,-8,3,3,
2088,17,"2, f+4","h, h (TJ)","9,34",js14~,0,Tail spin,Tail spin,Tail spin
2089,17,3,h,15,14,-7,4,4,
2090,17,"3, 3","h, m","15,12",14,-13,-7,-2,
2091,17,"3, 3, F","h, m, (LFS)","15,12",14,2,8,13,
2092,17,"3, 3, 3","h, m, m","15,12,15",14,-14,KND,KND,
2093,17,"3, 3, 4","h, m, h, (RFS)","15,12,15",14,+8~+12,+19~+23g,+19~+23g,
2094,17,"3, 3, d/f or f+4","h, m, h","15,12,23",14,-4~+2y,KND,KND,
2095,17,3~4,mm (TJ),"11,21","22,30 (22)",-3,KND,KND,
2096,17,4,h,14,11~12,-6~-5,+5~+6,+5~+6,
2097,17,"4, 3","h, m(LFF)","14,12",11~12,-6,5,5,
2098,17,"4, 3, f (Cancel)","h, (LFS)",14,11~12,-6~-5,+5~+6,+5~+6,
2099,17,"4, 4","h, h, (RFS)","14,13",11~12,-1,+10g,10,
2100,17,"4, f+4","h, h(RFF)","14,13",11~12,-5,6,6,
2101,17,"4, 4, 3","h, h, m(RFF)","14,10,20",11~12,-15~-9s,KND,KND,
2102,17,"4, 4, 4","h, h, h, (RFS)","14,10,10",11~12,-1,+10g,10,
2103,17,"4, 4, f+4","h, h, h(RFF)","14,10,25",11~12,-6,5,5,
2104,17,"4, 4, 4, 4","h, h, h, h(RFF)","14,10,10,20",11~12,+2~+5,KND,KND,
2105,17,"4, 4, 4, 3","h, h, h, m(RFF)","14,10,10,20",11~12,-15~-9s,KND,KND,
2106,17,1+2,(RFF),b,11~12,,,,
2107,17,3+4,(RFF),,11~12,,,,
2108,17,f+2,m(RFF),15,16,-2,9,9,
2109,17,f+3,(Special),,13~,,,,
2110,17,f+3~n+3,m,25,20(20~),-16,KND,KND,
2111,17,"f, n+4",(Special),,23~,,,,
2112,17,f+4,"h, (RFS)",21,17~23,+8~+12,+19~+23g,+19~+23g,
2113,17,f+1+2,m,17,15,-9,2,CS,
2114,17,d/f+1,m,10,13~14,0~+1,+7~+8,+7~+8,
2115,17,d/f+2,m,13,15~16,-7~-6,Launch (JG?)(+4a),Launch (JG?),
2116,17,d/f+3,m,12,22~23,-14~-13,-4~-3,-4~-3,Power crush
2117,17,"d/f+3, 4","m, m","12,20",22~23,-14~-13,KND,KND,
2118,17,"d/f+3, f (Cancel)",(LFS),,22~23,,,,
2119,17,d/f+4,m(RFF),20,16~17,-8~-7,+8~+9,KND,"Homing, Tail spin"
2120,17,d/f+1+2,m,12,13~14,-3~-2,+8~+9,+8~+9,
2121,17,d/f+3+4,"m(, (Sky)(throw))","8(,6,15)",15~16,-11~-10,0~+1,0~+1,
2122,17,d+3,l,7,17,-13,-2,-2,
2123,17,"d+3, 4","l, h, (RFS)","7,13",17,+8~+12,+14~+18g,+19~+23,
2124,17,d+4,l (TC),7,19s cs6~,-17,-6,-6,
2125,17,"d+4, 4","l (TC), h","7,22",19 6~,-8,Launch (JG?),Launch (JG?),
2126,17,d/b+3,l (TC),12,19s cs4~,-13,0,7,
2127,17,d/b+4,l,12,16,-12,-8,-1,
2128,17,"d/b+4, f","l, (RFS)",12,16,-1,3,10,
2129,17,"d/b+4, 4","l, h","12,21",16,-3~-1,KND,KND,Tail spin
2130,17,d/b+3+4,!,40,61~63,KND,KND,KND,
2131,17,"d/b+3+4, b, b (Cancel)",(LFS),,61~63,,,,
2132,17,b+1,m,18,15,-13,0,CS (0),
2133,17,b+2,h,18,13~15,-9~-7,+15~+17kg,+15~+17kg,
2134,17,b+3,m,17,16~18,-19~-17,Launch (JG?),Launch (JG?),
2135,17,b+4,h(RFF),20,13~14,-9~-8,+2~+3,CS,
2136,17,u/b+3,m,8,16~17,-14~-13,-3~-2,-3~-2,
2137,17,"u/b+3, 3","m, h (TJ), (LFS)","8,15",js17~,+3~+5,KND,KND,Tail spin
2138,17,"u/b+3, 4","m, m, (RFS)","8,16",17~,-4,+12g,+12g,
2139,17,u/b+4,m (TJ),18,17~20 js5~15,-8~-5,+10~+13,+10~+13,
2140,17,u+3,"h (TJ), (LFS)",33,20 js9~,3,uKZD,uKZD,
2141,17,u+4,"m (TJ), (RFS)",18,16~18 js9~,0~+2,+11~+13g,+11~+13,
2142,17,u+3+4,m (TJ),20,25~26 js8~,-7~-6,KND,KND,
2143,17,u/f+2,m (TJ),22,26 js13~,+5s,+4s,KND,
2144,17,u/f+3,m (TJ),15,28~29 js9~,-6~-5,KND,KND,
2145,17,"u/f+3, 4","m (TJ), m","15,14",js1~,-8,Launch (JG?),Launch (JG?),
2146,17,"u/f+3, 4 (when second hit inputted)",m (TJ),15,js9~,-13~-12,KND,KND,
2147,17,"u/f+3, 4, 3","m (TJ), m, h","15,14,25",9~,,KND,,
2148,17,u/f+4,"h (TJ), (RFS)",12,22~23 js1~,-2~-1,+4~+5,+4~+5,
2149,17,"u/f+4, 4","h (TJ), m (TJ), (RFS)","12,12",js1~5,0~+1,+6~+7,+6~+7,
2150,17,"u/f+4, 4, 4","h (TJ), m (TJ), l, (RFS)","12,12,12",1~5,+1~+2,+7~+8,+7~+8,
2151,17,u/f+3+4,mh (TJ),"9,8","14,25 js9~",-10,1,1,
2152,17,"u/f+3+4, 4","mh (TJ), m (TJ)","10,8,13",js1~,-13~-12,+4~+5,+4~+5,
2153,17,"f, F+3",m(RFF),24,22~26 (23~),+6~+10,+6~+10s,+6~+10s,
2154,17,"f, F+4",m(RFF),22,17~18 (18~),-7~-6,KND,KND,
2155,17,"f, n, d, d/f+3","m, (LFS)",27,18(21~),3,KND,CS,Wall bounce
2156,17,"f, n, d, d/f+4",m,18,16(19~),-18,Launch(JG?),Launch(JG?),
2157,17,"f, n, d/f+4",m,18,16(18~),-10,Launch(JG?),Launch(JG?),
2158,17,"f, f, f+3",m (TJ),30,22~24a (25~) js3~,+6~+8,KND,KND,
2159,17,"f, f, f+4",h,28,18~19a (21~) js14~,+5~+6,+8~+9b,+8~+9b,
2160,17,WS+3,m,20,14~18,-7~-3,KND,KND,
2161,17,WS+4,m,12,11~12,-3~-2,+8~+9,+8~+9,
